title,park,date,rating,cc,location.latitude,location.longitude,datayear,day,address,community,geocode_address,datamonth
Lego Movie,Austin-Foster Playlot Park,2014-08-08T03:00:00Z,PG,No,41.9759407,-87.77890778,2014,Fri,"6020 W Foster Ave Chicago, IL 60630",JEFFERSON PARK,"6020 W Foster Ave Chicago, IL 60630",08
The Smurfs 2,Brooks Park,2014-07-19T03:00:00Z,PG,No,42.01028061,-87.8066864,2014,Sat,"7100 N Harlem Ave Chicago, IL 60631",EDISON PARK,"7100 N Harlem Ave Chicago, IL 60631",07
Delivery Man,Dunham Park,2014-06-14T04:00:00Z,PG-13,No,41.96598053,-87.78197479,2014,Sat,4638 N. Melvina Ave. Chicago IL 60630,PORTAGE PARK,4638 N. Melvina Ave. Chicago IL 60630,06
A League of Their Own,Edgebrook Park,2014-06-08T02:45:00Z,PG,No,41.99946594,-87.76202393,2014,Sun,6525 N. Hiawatha Ave. Chicago IL 60646,FOREST GLEN,6525 N. Hiawatha Ave. Chicago IL 60646,06
Lego Movie,Olympia Park,2014-06-21T03:00:00Z,PG,No,41.99970245,-87.81498718,2014,Sat,6566 N. Avondale Ave. Chicago IL 60631,EDISON PARK,6566 N. Avondale Ave. Chicago IL 60631,06
Lego Movie,Portage Park,2014-08-21T03:00:00Z,PG,No,41.95508957,-87.76216125,2014,Thu,"4100 N Long Ave Chicago, IL 60641",PORTAGE PARK,"4100 N Long Ave Chicago, IL 60641",08
Frozen,Portage Park,2014-07-10T03:00:00Z,PG,No,41.95508957,-87.76216125,2014,Thu,"4100 N Long Ave Chicago, IL 60641",PORTAGE PARK,"4100 N Long Ave Chicago, IL 60641",07
Monsters University,Portage Park,2014-06-26T03:00:00Z,G,No,41.95508957,-87.76216125,2014,Thu,"4100 N Long Ave Chicago, IL 60641",PORTAGE PARK,"4100 N Long Ave Chicago, IL 60641",06
The Nut Job,Roberts Square Playlot Park,2014-08-16T03:00:00Z,PG,No,41.97188187,-87.75899506,2014,Sat,5200 W. Argyle St. Chicago IL 60630,JEFFERSON PARK,5200 W. Argyle St. Chicago IL 60630,08
Free Birds,Wildwood Park,2014-07-11T03:00:00Z,PG,Yes,42.00686264,-87.7776947,2014,Fri,6950 N. Hiawatha Ave. Chicago IL 60646,FOREST GLEN,6950 N. Hiawatha Ave. Chicago IL 60646,07
Hairspray,Bell Park,2014-08-22T03:15:00Z,PG,No,41.93524551,-87.79602051,2014,Fri,"3020 N Oak Park Ave Chicago, IL 60634",MONTCLARE,"3020 N Oak Park Ave Chicago, IL 60634",08
The Wizard of Oz,Chase Park,2014-06-26T03:30:00Z,G,No,41.96714783,-87.66930389,2014,Thu,4701 N. Ashland Ave. Chicago IL 60640,UPTOWN,4701 N. Ashland Ave. Chicago IL 60640,06
The Muppet Movie,Gompers Park,2014-07-17T03:30:00Z,G,No,41.97549438,-87.73486328,2014,Thu,4222 W. Foster Ave. Chicago IL 60630,NORTH PARK,4222 W. Foster Ave. Chicago IL 60630,07
Annie,Pottawattomie Park,2014-07-24T03:30:00Z,NR,No,42.01446533,-87.6785965,2014,Thu,7340 N. Rogers Ave. Chicago IL 60626,ROGERS PARK,7340 N. Rogers Ave. Chicago IL 60626,07
The Muppet Movie,Touhy Park,2014-07-31T03:00:00Z,G,No,42.0148735,-87.67243958,2014,Thu,7348 N. Paulina St. Chicago IL 60626,ROGERS PARK,7348 N. Paulina St. Chicago IL 60626,07
Willy Wonka and the Chocolate Factory,Trebes Park,2014-08-28T03:00:00Z,G,No,41.92298889,-87.65727234,2014,Thu,2250 N. Clifton Ave. Chicago IL 60614,LINCOLN PARK,2250 N. Clifton Ave. Chicago IL 60614,08
Brave,Athletic Field Park,2014-08-30T03:30:00Z,PG,No,41.94668198,-87.71703339,2014,Sat,"3546 W Addison St Chicago, IL 60618",IRVING PARK,"3546 W Addison St Chicago, IL 60618",08
The Perfect Game,Athletic Field Park,2014-07-26T03:30:00Z,PG,No,41.94668198,-87.71703339,2014,Sat,"3546 W Addison St Chicago, IL 60618",IRVING PARK,"3546 W Addison St Chicago, IL 60618",07
Newsies,Athletic Field Park,2014-06-28T03:30:00Z,PG,No,41.94668198,-87.71703339,2014,Sat,"3546 W Addison St Chicago, IL 60618",IRVING PARK,"3546 W Addison St Chicago, IL 60618",06
Saving Mr. Banks,Calumet Park,2014-07-08T03:00:00Z,PG-13,No,41.71755765,-87.53148079,2014,Tue,"9801 S Avenue G Chicago, IL 60617",EAST SIDE,"9801 S Avenue G Chicago, IL 60617",07
Ironman 3,Chopin Park,2014-09-14T02:45:00Z,PG-13,No,41.94267654,-87.76173401,2014,Sun,3420 N. Long Ave. Chicago IL 60641,PORTAGE PARK,3420 N. Long Ave. Chicago IL 60641,09
Gremlins,Chopin Park,2014-06-15T03:00:00Z,PG,No,41.94267654,-87.76173401,2014,Sun,3420 N. Long Ave. Chicago IL 60641,PORTAGE PARK,3420 N. Long Ave. Chicago IL 60641,06
