title,park,date,phone,rating,cc,location.latitude,location.longitude,location.human_address2,datayear,day,park_address,address,city,state,zip,community,geocode_address,lat,long,osm_type,display_name,class,type
@home,Austin Town Hall Park,2014-05-30T01:30:00Z,(773) 287-7658,NR,No,41.88805771,-87.76578522,"{""address"": ""5610 W Lake St Chicago, IL 60644"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60644""}",2014,Fri,NA,"5610 W Lake St Chicago, IL 60644",Chicago,IL,60644,AUSTIN,"5610 W Lake St Chicago, IL 60644",41.888470850000004,-87.7658057062049,way,"Austin Town Hall, 5610, West Lake Street, Austin, Chicago, Cook County, Illinois, 60644, United States",leisure,sports_centre
@home,Berger Park Cultural Center,2014-06-04T01:30:00Z,(773) 761-0376,NR,No,41.99475861,-87.65554047,"{""address"": ""6205 N Sheridan Rd Chicago, IL 60660"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60660""}",2014,Wed,NA,"6205 N Sheridan Rd Chicago, IL 60660",Chicago,IL,60660,EDGEWATER,"6205 N Sheridan Rd Chicago, IL 60660",41.994862499999996,-87.6551174100289,way,"6205, North Sheridan Road, Edgewater, Chicago, Lake View Township, Cook County, Illinois, 60660, United States",building,yes
@home,Lake Shore Park,2014-06-06T01:30:00Z,(312) 742-7891,NR,No,41.89749146,-87.61992645,"{""address"": ""808 N Lake Shore Dr Chicago, IL 60611"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60611""}",2014,Fri,NA,"808 N Lake Shore Dr Chicago, IL 60611",Chicago,IL,60611,NEAR NORTH SIDE,"808 N Lake Shore Dr Chicago, IL 60611",41.897175450000006,-87.61788656601382,way,"Lake Shore Park Fieldhouse, 808, North Lake Shore Drive, Streeterville, Near North Side, Chicago, Cook County, Illinois, 60611, United States",leisure,sports_centre
@home,Loyola Park,2014-05-31T01:30:00Z,(773) 262-8605,NR,No,42.01041412,-87.66117859,"{""address"": ""1230 W. Greenleaf Ave. Chicago IL 60626"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60626""}",2014,Sat,NA,1230 W. Greenleaf Ave. Chicago IL 60626,Chicago,IL,60626,"ROGERS PARK, GRAND BOULEVARD",1230 W. Greenleaf Ave. Chicago IL 60626,42.010858400000004,-87.66167898206695,way,"Loyola Park Fieldhouse, 1230, West Greenleaf Avenue, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60626, United States",building,public
@home,Palmer Park,2014-06-07T01:30:00Z,(312) 747-6577,NR,No,41.69263077,-87.61819458,"{""address"": ""201 E 111th St Chicago, IL 60628"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60628""}",2014,Sat,NA,"201 E 111th St Chicago, IL 60628",Chicago,IL,60628,ROSELAND,"201 E 111th St Chicago, IL 60628",41.69186225,-87.61639939299408,way,"Palmer Park Field House, 201, East 111th Street, Arcade Row, Chicago, Hyde Park Township, Cook County, Illinois, 60628, United States",building,yes
@home,Piotrowski Park,2014-06-05T01:30:00Z,(312) 747-6608 ,NR,No,41.8367424,-87.730896,"{""address"": ""4247 W. 31st St. Chicago IL 60623"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60623""}",2014,Thu,NA,4247 W. 31st St. Chicago IL 60623,Chicago,IL,60623,SOUTH LAWNDALE,4247 W. 31st St. Chicago IL 60623,41.836480050000006,-87.73077856787249,way,"Piotrowski Park Fieldhouse, 4247, West 31st Street, South Lawndale, Chicago, Cook County, Illinois, 60623, United States",leisure,sports_centre
@home,West Pullman Park,2014-06-03T01:30:00Z,(312) 747-7090,NR,No,41.67062378,-87.63065338,"{""address"": ""401 W. 123rd St. Chicago IL 60628"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60628""}",2014,Tue,NA,401 W. 123rd St. Chicago IL 60628,Chicago,IL,60628,WEST PULLMAN,401 W. 123rd St. Chicago IL 60628,41.6700525,-87.63210709571621,way,"401, West 123rd Street, West Pullman, Calumet Park, Calumet Township, Cook County, Illinois, 60827, United States",building,yes
Lego Movie,Austin-Foster Playlot Park,2014-08-08T03:00:00Z,(773) 685-3257,PG,N/A,41.9759407,-87.77890778,"{""address"": ""6020 W Foster Ave Chicago, IL 60630"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60630""}",2014,Fri,NA,"6020 W Foster Ave Chicago, IL 60630",Chicago,IL,60630,JEFFERSON PARK,"6020 W Foster Ave Chicago, IL 60630",41.97574755347739,-87.77911900526617,way,"6020, West Foster Avenue, Colonial Gardens, Jefferson Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",place,house
The Smurfs 2,Brooks Park,2014-07-19T03:00:00Z,(773) 631-4401,PG,N/A,42.01028061,-87.8066864,"{""address"": ""7100 N Harlem Ave Chicago, IL 60631"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60631""}",2014,Sat,NA,"7100 N Harlem Ave Chicago, IL 60631",Chicago,IL,60631,EDISON PARK,"7100 N Harlem Ave Chicago, IL 60631",42.00985755,-87.80722606925839,way,"Brooks Park Fieldhouse, 7100, North Harlem Avenue, Edison Park, Chicago, Jefferson Township, Cook County, Illinois, 60631, United States",leisure,sports_centre
Delivery Man,Dunham Park,2014-06-14T04:00:00Z,(773) 685-3257,PG-13,N/A,41.96598053,-87.78197479,"{""address"": ""4638 N. Melvina Ave. Chicago IL 60630"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60630""}",2014,Sat,NA,4638 N. Melvina Ave. Chicago IL 60630,Chicago,IL,60630,PORTAGE PARK,4638 N. Melvina Ave. Chicago IL 60630,41.96587575,-87.7825277036612,way,"Dunham Park Fieldhouse, 4638, North Melvina Avenue, Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",leisure,sports_centre
